sport,league,event_ticker,market_ticker,game_id,home_team,away_team,expiration_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-DET,,BUF,DET,2026-09-18T03:15:00Z,away,0.31,0.32,0.315,0.01,3310918.39,3073906.93,577274.68,255892.31,485322.57,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-BUF,,BUF,DET,2026-09-18T03:15:00Z,home,0.67,0.68,0.675,0.01,763009.88,6714687.55,889168.36,309064.19,748055.92,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-CAR,,ATL,CAR,2026-09-20T20:00:00Z,away,0.56,0.57,0.565,0.01,414.58,80727.13,90836.19,18632.93,70412.94,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-ATL,,ATL,CAR,2026-09-20T20:00:00Z,home,0.43,0.44,0.435,0.01,31070.37,23.75,188124.42,169864.02,186037.6,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20CINHOU,KXNFLGAME-26SEP20CINHOU-CIN,,HOU,CIN,2026-09-20T20:00:00Z,away,0.41,0.42,0.415,0.01,46035.71,203832.8,88257.29,27194.76,74390.49,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20CINHOU,KXNFLGAME-26SEP20CINHOU-HOU,,HOU,CIN,2026-09-20T20:00:00Z,home,0.58,0.59,0.585,0.01,84699.93,110947.65,43114.79,18938.07,37729.66,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20CLETB,KXNFLGAME-26SEP20CLETB-CLE,,TB,CLE,2026-09-20T20:00:00Z,away,0.2,0.21,0.20500000000000002,0.01,55807.43,1898.0,28468.68,7540.02,23542.16,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20CLETB,KXNFLGAME-26SEP20CLETB-TB,,TB,CLE,2026-09-20T20:00:00Z,home,0.78,0.79,0.785,0.01,38710.7,43500.66,57016.89,18269.23,49033.89,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20GBNYJ,KXNFLGAME-26SEP20GBNYJ-GB,,NYJ,GB,2026-09-20T20:00:00Z,away,0.62,0.63,0.625,0.01,45.42,749918.46,116513.0,30945.54,107732.18,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20GBNYJ,KXNFLGAME-26SEP20GBNYJ-NYJ,,NYJ,GB,2026-09-20T20:00:00Z,home,0.37,0.38,0.375,0.01,127514.27,3209.85,60583.62,19556.12,50095.8,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-IND,,KC,IND,2026-09-21T03:20:00Z,away,0.27,0.28,0.275,0.01,36827.32,85950.52,22847.26,3592.27,17847.05,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-KC,,KC,IND,2026-09-21T03:20:00Z,home,0.72,0.73,0.725,0.01,28871.99,48558.91,53050.11,21170.78,46599.02,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20JACDEN,KXNFLGAME-26SEP20JACDEN-JAC,,DEN,JAX,2026-09-20T23:05:00Z,away,0.41,0.42,0.415,0.01,13953.63,2378.09,133088.9,75102.63,120715.5,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20JACDEN,KXNFLGAME-26SEP20JACDEN-DEN,,DEN,JAX,2026-09-20T23:05:00Z,home,0.58,0.59,0.585,0.01,347.14,153117.25,51761.71,7153.32,48851.33,active,kalshi,2026-09-17T00:02:20.455561+00:00
nfl,NFL,KXNFLGAME-26SEP20LVLAC,KXNFLGAME-26SEP20LVLAC-LV,,LAC,LV,2026-09-20T23:05:00Z,away,0.27,0.28,0.275,0.01,697.78,29660.97,310883.57,80490.89,284871.64,active,kalshi,2026-09-17T00:02:20.455561+00:00
