sport,league,event_ticker,market_ticker,game_id,home_team,away_team,expiration_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-ARI,,LAC,ARI,2026-09-14T02:25:00Z,away,0.18,0.19,0.185,0.01,292160.3,1101756.66,207972.2,49126.52,174011.88,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13ARILAC,KXNFLGAME-26SEP13ARILAC-LAC,,LAC,ARI,2026-09-14T02:25:00Z,home,0.8,0.81,0.805,0.01,207461.42,3348414.2,239191.38,47947.88,163990.21,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-ATL,,PIT,ATL,2026-09-13T20:00:00Z,away,0.28,0.29,0.28500000000000003,0.01,49006.14,2901312.88,339317.5,89996.5,192639.33,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13ATLPIT,KXNFLGAME-26SEP13ATLPIT-PIT,,PIT,ATL,2026-09-13T20:00:00Z,home,0.72,0.73,0.725,0.01,55878.52,2114801.06,592067.58,194256.19,520477.76,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-BAL,,IND,BAL,2026-09-13T20:00:00Z,away,0.6,0.61,0.605,0.01,116971.59,1066580.16,316355.61,151581.2,277822.42,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13BALIND,KXNFLGAME-26SEP13BALIND-IND,,IND,BAL,2026-09-13T20:00:00Z,home,0.39,0.4,0.395,0.01,292199.8,2221778.72,102624.56,32516.64,93248.48,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-BUF,,HOU,BUF,2026-09-13T20:00:00Z,away,0.52,0.53,0.525,0.01,147481.66,3589894.57,646666.89,264115.08,569891.98,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13BUFHOU,KXNFLGAME-26SEP13BUFHOU-HOU,,HOU,BUF,2026-09-13T20:00:00Z,home,0.47,0.48,0.475,0.01,196898.44,3041559.26,786515.09,469671.47,702415.27,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CHI,,CAR,CHI,2026-09-13T20:00:00Z,away,0.59,0.6,0.595,0.01,171665.07,698409.21,473981.1,214572.12,428650.77,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13CHICAR,KXNFLGAME-26SEP13CHICAR-CAR,,CAR,CHI,2026-09-13T20:00:00Z,home,0.39,0.4,0.395,0.01,385768.0,1446876.23,130989.41,56073.62,115821.7,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-CLE,,JAX,CLE,2026-09-13T20:00:00Z,away,0.2,0.21,0.20500000000000002,0.01,276231.86,32102.45,240454.87,79882.67,207847.05,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13CLEJAC,KXNFLGAME-26SEP13CLEJAC-JAC,,JAX,CLE,2026-09-13T20:00:00Z,home,0.78,0.79,0.785,0.01,185919.63,1958135.5,239720.29,81226.71,211176.89,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-DAL,,NYG,DAL,2026-09-14T06:20:00Z,away,0.6,0.61,0.605,0.01,106523.84,4065526.48,814227.86,274439.63,697102.66,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13DALNYG,KXNFLGAME-26SEP13DALNYG-NYG,,NYG,DAL,2026-09-14T06:20:00Z,home,0.39,0.4,0.395,0.01,326621.04,3896480.26,343975.51,97036.72,291181.99,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-GB,,MIN,GB,2026-09-13T23:25:00Z,away,0.45,0.46,0.455,0.01,105359.32,2243290.63,559957.8,187336.03,496709.58,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13GBMIN,KXNFLGAME-26SEP13GBMIN-MIN,,MIN,GB,2026-09-13T23:25:00Z,home,0.54,0.55,0.545,0.01,124410.04,2173240.43,265025.13,107464.84,232293.22,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-MIA,,LV,MIA,2026-09-13T23:25:00Z,away,0.39,0.4,0.395,0.01,157919.29,2492839.1,154931.95,36181.86,136630.69,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13MIALV,KXNFLGAME-26SEP13MIALV-LV,,LV,MIA,2026-09-13T23:25:00Z,home,0.6,0.61,0.605,0.01,154791.78,2056526.78,166027.23,58540.39,145460.13,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-NO,,DET,NO,2026-09-13T20:00:00Z,away,0.25,0.26,0.255,0.01,214536.71,3156416.64,281251.37,99064.92,249660.02,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13NODET,KXNFLGAME-26SEP13NODET-DET,,DET,NO,2026-09-13T20:00:00Z,home,0.74,0.75,0.745,0.01,103541.0,4219937.9,393897.35,90828.33,298780.54,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-NYJ,,TEN,NYJ,2026-09-13T23:00:00Z,away,0.48,0.49,0.485,0.01,183911.19,1734117.25,221594.81,82713.82,198547.9,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13NYJTEN,KXNFLGAME-26SEP13NYJTEN-TEN,,TEN,NYJ,2026-09-13T23:00:00Z,home,0.51,0.52,0.515,0.01,148485.71,1625409.96,124634.37,45741.62,105535.52,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-TB,,CIN,TB,2026-09-13T20:00:00Z,away,0.36,0.37,0.365,0.01,44841.35,3087016.34,236388.64,84336.01,215422.93,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13TBCIN,KXNFLGAME-26SEP13TBCIN-CIN,,CIN,TB,2026-09-13T20:00:00Z,home,0.63,0.64,0.635,0.01,150178.16,913181.41,78499.07,23310.05,70728.29,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-WAS,,PHI,WAS,2026-09-13T23:25:00Z,away,0.31,0.32,0.315,0.01,84814.3,2417811.53,154707.23,34899.81,147456.34,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP13WASPHI,KXNFLGAME-26SEP13WASPHI-PHI,,PHI,WAS,2026-09-13T23:25:00Z,home,0.67,0.68,0.675,0.01,246825.77,75234.25,227816.0,93599.07,210885.47,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-DEN,,KC,DEN,2026-09-15T03:15:00Z,away,0.44,0.45,0.445,0.01,89573.02,2327305.11,453931.35,81306.45,405639.23,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP14DENKC,KXNFLGAME-26SEP14DENKC-KC,,KC,DEN,2026-09-15T03:15:00Z,home,0.55,0.56,0.555,0.01,166883.51,398011.73,95044.82,25885.58,82891.86,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-DET,,BUF,DET,2026-09-18T03:15:00Z,away,0.37,0.38,0.375,0.01,842.7,833.84,18794.3,3187.34,14951.58,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP17DETBUF,KXNFLGAME-26SEP17DETBUF-BUF,,BUF,DET,2026-09-18T03:15:00Z,home,0.62,0.63,0.625,0.01,33.65,6781.55,25305.58,9845.55,23093.72,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-CAR,,ATL,CAR,2026-09-20T20:00:00Z,away,0.47,0.48,0.475,0.01,1737.06,317.92,14146.87,2217.14,10057.56,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20CARATL,KXNFLGAME-26SEP20CARATL-ATL,,ATL,CAR,2026-09-20T20:00:00Z,home,0.51,0.52,0.515,0.01,1347.38,1299.93,1308.96,74.07,1194.0,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20CINHOU,KXNFLGAME-26SEP20CINHOU-CIN,,HOU,CIN,2026-09-20T20:00:00Z,away,0.43,0.44,0.435,0.01,565.0,4363.7,9682.21,2498.99,7490.45,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20CINHOU,KXNFLGAME-26SEP20CINHOU-HOU,,HOU,CIN,2026-09-20T20:00:00Z,home,0.55,0.56,0.555,0.01,3869.71,2220.34,2520.51,364.98,1959.73,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20CLETB,KXNFLGAME-26SEP20CLETB-CLE,,TB,CLE,2026-09-20T20:00:00Z,away,0.26,0.27,0.265,0.01,7.45,586.65,3854.33,374.84,2725.89,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20CLETB,KXNFLGAME-26SEP20CLETB-TB,,TB,CLE,2026-09-20T20:00:00Z,home,0.73,0.74,0.735,0.01,1.36,4400.35,8550.02,514.2,8334.44,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20GBNYJ,KXNFLGAME-26SEP20GBNYJ-GB,,NYJ,GB,2026-09-20T20:00:00Z,away,0.67,0.69,0.6799999999999999,0.02,5720.47,3163.0,3957.19,653.91,3679.59,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20GBNYJ,KXNFLGAME-26SEP20GBNYJ-NYJ,,NYJ,GB,2026-09-20T20:00:00Z,home,0.3,0.32,0.31,0.02,4157.8,1842.0,2715.59,374.99,2024.46,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-IND,,KC,IND,2026-09-21T03:20:00Z,away,0.28,0.29,0.28500000000000003,0.01,2501.78,1000.43,8373.7,765.43,5234.7,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20INDKC,KXNFLGAME-26SEP20INDKC-KC,,KC,IND,2026-09-21T03:20:00Z,home,0.71,0.72,0.715,0.01,27.08,8172.78,1833.63,295.76,1395.84,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20JACDEN,KXNFLGAME-26SEP20JACDEN-JAC,,DEN,JAX,2026-09-20T23:05:00Z,away,0.41,0.43,0.42,0.02,97.45,7873.21,1381.69,191.89,867.14,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20JACDEN,KXNFLGAME-26SEP20JACDEN-DEN,,DEN,JAX,2026-09-20T23:05:00Z,home,0.57,0.59,0.58,0.02,1269.21,3044.36,2715.62,273.86,2210.72,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20LVLAC,KXNFLGAME-26SEP20LVLAC-LV,,LAC,LV,2026-09-20T23:05:00Z,away,0.2,0.21,0.20500000000000002,0.01,594.68,1308.33,21165.31,2696.0,18548.48,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20LVLAC,KXNFLGAME-26SEP20LVLAC-LAC,,LAC,LV,2026-09-20T23:05:00Z,home,0.79,0.81,0.8,0.02,19.75,5719.63,12373.65,272.95,11872.27,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20MIASF,KXNFLGAME-26SEP20MIASF-MIA,,SF,MIA,2026-09-20T23:25:00Z,away,0.13,0.14,0.135,0.01,372.52,1681.97,39136.6,9032.93,29094.25,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20MIASF,KXNFLGAME-26SEP20MIASF-SF,,SF,MIA,2026-09-20T23:25:00Z,home,0.86,0.87,0.865,0.01,261.94,2242.62,22299.02,4449.06,16255.53,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20MINCHI,KXNFLGAME-26SEP20MINCHI-MIN,,CHI,MIN,2026-09-20T20:00:00Z,away,0.42,0.43,0.425,0.01,21.67,4855.87,28912.9,17571.82,27545.72,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20MINCHI,KXNFLGAME-26SEP20MINCHI-CHI,,CHI,MIN,2026-09-20T20:00:00Z,home,0.58,0.59,0.585,0.01,16.24,2160.36,9418.65,1551.19,6625.56,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20NOBAL,KXNFLGAME-26SEP20NOBAL-NO,,BAL,NO,2026-09-20T20:00:00Z,away,0.21,0.22,0.215,0.01,722.8,937.42,11151.61,1982.26,9969.21,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20NOBAL,KXNFLGAME-26SEP20NOBAL-BAL,,BAL,NO,2026-09-20T20:00:00Z,home,0.78,0.8,0.79,0.02,19.3,12149.04,6338.87,554.96,5810.2,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20PHITEN,KXNFLGAME-26SEP20PHITEN-PHI,,TEN,PHI,2026-09-20T20:00:00Z,away,0.71,0.72,0.715,0.01,17.58,3507.25,38799.62,26789.78,36340.08,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20PHITEN,KXNFLGAME-26SEP20PHITEN-TEN,,TEN,PHI,2026-09-20T20:00:00Z,home,0.28,0.3,0.29000000000000004,0.02,72.78,1075.09,5179.24,3696.9,4867.25,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20PITNE,KXNFLGAME-26SEP20PITNE-PIT,,NE,PIT,2026-09-20T20:00:00Z,away,0.37,0.38,0.375,0.01,515.31,3510.35,29920.19,2589.32,25997.41,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20PITNE,KXNFLGAME-26SEP20PITNE-NE,,NE,PIT,2026-09-20T20:00:00Z,home,0.62,0.63,0.625,0.01,86.65,976.46,10705.16,1185.3,8415.58,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20SEAARI,KXNFLGAME-26SEP20SEAARI-SEA,,ARI,SEA,2026-09-20T23:25:00Z,away,0.75,0.77,0.76,0.02,159.35,84.18,14126.36,4906.99,10677.2,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20SEAARI,KXNFLGAME-26SEP20SEAARI-ARI,,ARI,SEA,2026-09-20T23:25:00Z,home,0.23,0.25,0.24,0.02,136.8,5.73,10074.59,821.51,7416.7,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20WASDAL,KXNFLGAME-26SEP20WASDAL-WAS,,DAL,WAS,2026-09-20T23:25:00Z,away,0.32,0.34,0.33,0.02,50.03,1643.75,2240.25,146.68,1704.13,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP20WASDAL,KXNFLGAME-26SEP20WASDAL-DAL,,DAL,WAS,2026-09-20T23:25:00Z,home,0.66,0.68,0.67,0.02,157.51,5143.52,10587.86,1672.07,9739.88,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP21NYGLAR,KXNFLGAME-26SEP21NYGLAR-NYG,,LA,NYG,2026-09-22T03:15:00Z,away,0.22,0.24,0.22999999999999998,0.02,480.92,225090.81,19953.81,2529.48,17763.02,active,kalshi,2026-09-13T06:02:28.738314+00:00
nfl,NFL,KXNFLGAME-26SEP21NYGLAR,KXNFLGAME-26SEP21NYGLAR-LAR,,LA,NYG,2026-09-22T03:15:00Z,home,0.77,0.78,0.775,0.01,29.26,980.67,25132.85,1905.93,23061.28,active,kalshi,2026-09-13T06:02:28.738314+00:00
