sport,league,event_ticker,market_ticker,game_id,home_team,away_team,expiration_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-CFC,,Brentford,Chelsea,2026-09-18T22:00:00Z,away,0.42,0.44,0.43,0.02,17812.64,9046.26,77595.11,28382.55,64032.56,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-TIE,,Brentford,Chelsea,2026-09-18T22:00:00Z,draw,0.25,0.26,0.255,0.01,2214.0,31301.67,2599.74,1278.79,2409.05,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-BRE,,Brentford,Chelsea,2026-09-18T22:00:00Z,home,0.31,0.33,0.32,0.02,4680.5,21932.33,3253.17,1207.6,2489.26,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-ARS,,Brighton,Arsenal,2026-09-19T17:00:00Z,away,0.57,0.58,0.575,0.01,29776.52,3924.78,102649.57,31281.79,91522.79,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-TIE,,Brighton,Arsenal,2026-09-19T17:00:00Z,draw,0.23,0.24,0.235,0.01,1957.53,21440.84,1338.54,541.29,1032.78,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-BRI,,Brighton,Arsenal,2026-09-19T17:00:00Z,home,0.18,0.19,0.185,0.01,2398.95,19103.16,4224.29,1721.61,3470.94,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-IPS,,Everton,Ipswich,2026-09-19T17:00:00Z,away,0.2,0.21,0.20500000000000002,0.01,7160.1,8172.65,666.05,305.02,659.28,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-TIE,,Everton,Ipswich,2026-09-19T17:00:00Z,draw,0.24,0.25,0.245,0.01,3999.89,10425.6,359.26,145.0,348.9,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-EVE,,Everton,Ipswich,2026-09-19T17:00:00Z,home,0.54,0.55,0.545,0.01,6322.82,51.48,2431.28,1711.39,1735.08,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-HUL,,Newcastle,Hull,2026-09-19T17:00:00Z,away,0.18,0.19,0.185,0.01,8387.19,3052.86,23909.65,15827.85,23297.7,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-TIE,,Newcastle,Hull,2026-09-19T17:00:00Z,draw,0.21,0.22,0.215,0.01,8651.88,1282.0,2813.23,1084.68,2347.38,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-NEW,,Newcastle,Hull,2026-09-19T17:00:00Z,home,0.59,0.6,0.595,0.01,4986.65,2500.0,1471.62,711.94,1377.04,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-COV,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,away,0.17,0.18,0.175,0.01,8451.33,123.0,85.27,25.02,85.25,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-TIE,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,draw,0.23,0.24,0.235,0.01,6685.67,9586.38,231.21,12.62,231.18,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19NFOCOV,KXEPLGAME-26SEP19NFOCOV-NFO,,Nott'm Forest,Coventry,2026-09-19T19:30:00Z,home,0.58,0.59,0.585,0.01,1.19,7454.95,4265.13,2934.12,4066.52,active,kalshi,2026-09-15T00:02:34.924451+00:00
soccer,EPL,KXEPLGAME-26SEP19TOTAVL,KXEPLGAME-26SEP19TOTAVL-AVL,,Tottenham,Aston Villa,2026-09-19T14:30:00Z,away,0.25,0.26,0.255,0.01,19230.35,1626.01,19389.69,3565.32,18495.98,active,kalshi,2026-09-15T00:02:34.924451+00:00
