sport,league,event_ticker,market_ticker,game_id,home_team,away_team,expiration_time,selection,yes_bid,yes_ask,implied_prob_mid,spread,yes_bid_size,yes_ask_size,volume,volume_24h,open_interest,status,source,fetched_at
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-CFC,,Brentford,Chelsea,2026-09-18T22:00:00Z,away,0.4,0.41,0.405,0.01,50029.64,12914.41,332176.8,170353.03,289642.57,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-TIE,,Brentford,Chelsea,2026-09-18T22:00:00Z,draw,0.25,0.26,0.255,0.01,11703.0,109096.16,15082.16,5244.07,13557.23,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP18BRECFC,KXEPLGAME-26SEP18BRECFC-BRE,,Brentford,Chelsea,2026-09-18T22:00:00Z,home,0.34,0.35,0.345,0.01,3216.3,86645.81,15461.49,6082.71,13396.75,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-ARS,,Brighton,Arsenal,2026-09-19T17:00:00Z,away,0.58,0.59,0.585,0.01,3435.75,89826.2,231824.65,36451.91,187248.73,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-TIE,,Brighton,Arsenal,2026-09-19T17:00:00Z,draw,0.23,0.24,0.235,0.01,4097.16,34973.53,6402.55,1534.66,5977.77,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP19BRIARS,KXEPLGAME-26SEP19BRIARS-BRI,,Brighton,Arsenal,2026-09-19T17:00:00Z,home,0.19,0.2,0.195,0.01,28.0,48842.56,18593.57,3299.0,11397.67,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-IPS,,Everton,Ipswich,2026-09-19T17:00:00Z,away,0.2,0.21,0.20500000000000002,0.01,13819.36,6644.78,3122.75,1452.59,3000.23,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-TIE,,Everton,Ipswich,2026-09-19T17:00:00Z,draw,0.24,0.25,0.245,0.01,15229.45,4.25,1908.76,459.83,1891.79,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP19EVEIPS,KXEPLGAME-26SEP19EVEIPS-EVE,,Everton,Ipswich,2026-09-19T17:00:00Z,home,0.54,0.55,0.545,0.01,6278.97,42502.43,13746.18,3153.24,10030.91,active,kalshi,2026-09-18T00:02:37.237474+00:00
soccer,EPL,KXEPLGAME-26SEP19NEWHUL,KXEPLGAME-26SEP19NEWHUL-HUL,,Newcastle,Hull,2026-09-19T17:00:00Z,away,0.18,0.19,0.185,0.01,5290.85,35768.84,63897.09,12456.47,50985.97,active,kalshi,2026-09-18T00:02:37.237474+00:00
