bet_id,placed_at,sport,league,game_id,matchup,market,selection,model_prob,model_version,market_odds_decimal,book,edge_pct,stake,kelly_fraction,status,closing_odds_decimal,clv_pct,result_logged_at,notes,mode,market_ticker,market_fair_prob,expiration_time,kickoff_utc,pricing_version,edge_after_fee_pct,fee_assumption
eb880242,2026-09-10T15:00:16.152781+00:00,nfl,NFL,KXNFLGAME-26SEP21NYGLAR,NYG @ LA,moneyline,away,0.2657362103645682,nfl-elo-v1,5.555555555555555,kalshi,47.63122798031565,1.0,0.0261390885257829,void,,,2026-09-10T17:59:05.261365+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP21NYGLAR-NYG,0.1758793969849245,2026-09-22T03:15:00Z,2026-09-22T00:15:00+00:00,p1,39.61720066229966,0.07
a69da437,2026-09-10T15:00:16.159642+00:00,nfl,NFL,KXNFLGAME-26SEP20INDKC,IND @ KC,moneyline,away,0.3725806978888452,nfl-elo-v1,3.571428571428571,kalshi,33.06453496030184,1.0,0.032146075655849,void,,,2026-09-10T17:59:05.266660+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20INDKC-IND,0.2763819095477387,2026-09-21T03:20:00Z,2026-09-21T00:20:00+00:00,p1,26.679869535702423,0.07
39963476,2026-09-10T15:00:16.165733+00:00,nfl,NFL,KXNFLGAME-26SEP20WASDAL,WAS @ DAL,moneyline,away,0.4106945760869859,nfl-elo-v1,3.0303030303030303,kalshi,24.452901844541188,1.0,0.0301099164503678,void,,,2026-09-10T17:59:05.270863+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20WASDAL-WAS,0.3232323232323232,2026-09-20T23:25:00Z,2026-09-20T20:25:00+00:00,p1,18.87754498475612,0.07
4615b2df,2026-09-10T15:00:16.171892+00:00,nfl,NFL,KXNFLGAME-26SEP20SEAARI,SEA @ ARI,moneyline,home,0.3538523786540082,nfl-elo-v1,3.846153846153846,kalshi,36.09706871308009,1.0,0.0317068846804081,void,,,2026-09-10T17:59:05.275002+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20SEAARI-ARI,0.255,2026-09-20T23:25:00Z,2026-09-20T20:25:00+00:00,p1,29.394436882563312,0.07
1da56418,2026-09-10T15:00:16.178065+00:00,nfl,NFL,KXNFLGAME-26SEP20LVLAC,LV @ LAC,moneyline,away,0.2815283385566394,nfl-elo-v1,4.761904761904762,kalshi,34.061113598399714,1.0,0.0226355501761517,void,,,2026-09-10T17:59:05.279111+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20LVLAC-LV,0.2060301507537688,2026-09-20T23:05:00Z,2026-09-20T20:05:00+00:00,p1,27.0360216037143,0.07
e26b1556,2026-09-10T15:00:16.184318+00:00,nfl,NFL,KXNFLGAME-26SEP20JACDEN,JAX @ DEN,moneyline,home,0.6381898143901112,nfl-elo-v1,1.6949152542372885,kalshi,8.167765150866323,1.0,0.029384033164702,void,,,2026-09-10T17:59:05.283067+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20JACDEN-DEN,0.58,2026-09-20T23:05:00Z,2026-09-20T20:05:00+00:00,p1,5.149961262628899,0.07
404db90d,2026-09-10T15:00:16.191025+00:00,nfl,NFL,KXNFLGAME-26SEP20CLETB,CLE @ TB,moneyline,away,0.348933534241427,nfl-elo-v1,3.7037037037037033,kalshi,29.23464231163964,1.0,0.0270320322744613,void,,,2026-09-10T17:59:05.287085+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20CLETB-CLE,0.2676767676767677,2026-09-20T20:00:00Z,2026-09-20T17:00:00+00:00,p1,22.951805072438034,0.07
43f724ed,2026-09-10T15:00:16.197057+00:00,nfl,NFL,KXNFLGAME-26SEP20CINHOU,CIN @ HOU,moneyline,home,0.6573118879489278,nfl-elo-v1,1.7857142857142856,kalshi,17.377122848022818,1.0,0.0552908454255271,void,,,2026-09-10T17:59:05.291087+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20CINHOU-HOU,0.5606060606060607,2026-09-20T20:00:00Z,2026-09-20T17:00:00+00:00,p1,13.869929033782302,0.07
bf63ef56,2026-09-10T15:00:16.202756+00:00,nfl,NFL,KXNFLGAME-26SEP20NOBAL,NO @ BAL,moneyline,away,0.3203821315441512,nfl-elo-v1,4.3478260869565215,kalshi,39.29657893223963,1.0,0.0293448479039451,void,,,2026-09-10T17:59:05.295029+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20NOBAL-NO,0.2211055276381909,2026-09-20T20:00:00Z,2026-09-20T17:00:00+00:00,p1,32.17248214464337,0.07
1f69c4ee,2026-09-10T15:00:16.208984+00:00,nfl,NFL,KXNFLGAME-26SEP20GBNYJ,GB @ NYJ,moneyline,home,0.4368106375524328,nfl-elo-v1,3.125,kalshi,36.503324235135246,1.0,0.0429450873354532,void,,,2026-09-10T17:59:05.298967+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20GBNYJ-NYJ,0.3115577889447236,2026-09-20T20:00:00Z,2026-09-20T17:00:00+00:00,p1,30.300996788025248,0.07
0e92a135,2026-09-10T15:00:16.215348+00:00,nfl,NFL,KXNFLGAME-26SEP20CARATL,CAR @ ATL,moneyline,home,0.6183198793738439,nfl-elo-v1,1.8867924528301885,kalshi,16.66412818374412,1.0,0.0469786592414063,void,,,2026-09-10T17:59:05.304252+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20CARATL-ATL,0.5276381909547739,2026-09-20T20:00:00Z,2026-09-20T17:00:00+00:00,p1,12.948134556824598,0.07
a403dbf8,2026-09-10T15:00:16.221684+00:00,nfl,NFL,KXNFLGAME-26SEP20MINCHI,MIN @ CHI,moneyline,away,0.4545084496440726,nfl-elo-v1,2.5,kalshi,13.627112411018173,1.0,0.0227118540183636,void,,,2026-09-10T17:59:05.308203+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20MINCHI-MIN,0.395,2026-09-20T20:00:00Z,2026-09-20T17:00:00+00:00,p1,9.04713283207117,0.07
bf4653fe,2026-09-10T15:00:16.227958+00:00,nfl,NFL,KXNFLGAME-26SEP20PITNE,PIT @ NE,moneyline,away,0.4072067789290066,nfl-elo-v1,2.7777777777777777,kalshi,13.112994146946267,1.0,0.0184401480191431,void,,,2026-09-10T17:59:05.312180+00:00,"voided: priced by nfl-elo-v1, whose ratings came from a scrambled within-season order (week sorted as string); also logged without the liquidity filter. Re-priced under nfl-elo-v2.",shadow,KXNFLGAME-26SEP20PITNE-PIT,0.345,2026-09-20T20:00:00Z,2026-09-20T17:00:00+00:00,p1,8.262819819052725,0.07
